FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),DDR(MHz),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
56,0,0,33.00,60.11,65.22,66.32,58.51,55.21,65.26,54.26,44.09,73.20,1150,1150,1150,1150,800,800,800,800,79.20,5500,98.00,721,58,43.10,1827,3.863
54,0,0,33.01,67.80,81.05,78.13,73.96,70.41,63.16,57.14,51.58,64.89,2000,2000,2000,2000,2850,2850,2850,2850,80.00,6400,99.00,852,58,43.10,1827,3.863
56,0,0,49.51,78.29,96.97,91.75,92.93,90.53,64.58,68.37,59.00,62.77,2000,2000,2000,2000,2650,2650,2650,600,81.10,6400,100.00,572,58,43.10,2194,3.863
59,0,0,33.04,57.44,66.33,65.66,60.00,61.11,72.55,45.71,27.72,61.68,2000,2000,2000,2000,1500,1500,1500,800,74.30,5500,98.00,555,58,43.10,2194,3.866
60,0,0,33.03,52.74,60.67,62.63,63.27,51.65,70.33,47.83,15.05,49.46,1600,1600,1600,1600,1300,1300,1300,1200,71.80,2667,91.00,572,58,43.10,2194,3.866
55,1,1,82.51,59.06,61.54,66.67,56.38,61.05,67.01,50.00,47.92,61.22,2000,2000,2000,2000,2850,2850,2850,800,87.70,5500,84.00,773,58,43.10,1301,3.866
57,0,0,33.00,71.32,62.79,72.04,86.87,84.85,68.63,66.02,59.79,68.00,2000,2000,2000,2000,2400,2400,2400,600,83.00,5500,99.00,852,58,43.10,1301,3.866
53,0,0,33.03,53.86,57.45,60.42,57.00,56.12,63.16,49.49,34.74,54.46,1000,1000,1000,1000,1800,1800,1800,1700,80.80,5500,98.00,852,58,43.10,2205,3.832
54,0,0,33.01,50.31,54.26,52.38,45.36,46.53,54.00,46.46,41.18,62.14,1000,1000,1000,1000,1500,1500,1500,1500,80.80,3200,100.00,852,58,43.10,1899,3.832
38,0,0,98.99,44.91,55.06,42.70,50.96,59.79,43.30,31.96,37.76,37.50,900,900,900,900,2400,2400,2400,1100,78.40,3200,73.00,721,58,43.10,1899,3.832
51,0,0,33.02,53.25,58.62,59.79,51.09,58.33,56.99,38.30,44.44,55.67,1500,1500,1500,1500,700,700,700,700,78.40,3200,13.00,721,58,43.10,1899,3.859
